DERS_KODU,DERS_ADI,T,U,L,AKTS,Z_S,DONEM,BOLUM,OGRETIM_UYESI,TARIH,SAAT
AIT102,ATATÜRK İLKELERİ ve İNKILAP TARİHİ II,2,0,0,2,Z,2,İŞLETME,ONLİNE,2026-04-08,18:00:00
TUD102,TÜRK DİLİ II,2,0,0,2,Z,2,İŞLETME,ONLİNE,2026-04-10,18:00:00
IIZ1302,MUHASEBE II,3,0,0,5,Z,2,İŞLETME,Dr.Öğr. Üyesi Şükrü DOKUR,2026-04-13,12:00:00
IIZ1502,HUKUKA GİRİŞ,3,0,0,4,Z,2,İŞLETME,Öğr.Gör. Sevil KOYUNCU,2026-04-13,17:00:00
MAT1502,MATEMATİK II,3,0,0,5,Z,2,İŞLETME,Dr.Öğr. Üyesi Gülcan PETRİÇLİ,2026-04-14,13:00:00
IUZ1102,İKTİSAT II,3,0,0,5,Z,2,İŞLETME,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-14,16:00:00
IIZ1102,İŞLETME II,3,0,0,5,Z,2,İŞLETME,Doç.Dr. Mehmet CIRANOĞLU,2026-04-16,12:00:00
YAD102,İNGİLİZCE II,2,0,0,2,Z,2,İŞLETME,ONLİNE,2026-04-18,12:00:00
IIZ2302,MALİYET MUHASEBESİ,3,0,0,5,Z,4,İŞLETME,Prof.Dr. Orhan BOZKURT,2026-04-13,13:00:00
CAL2106,SOSYAL POLİTİKA,3,0,0,4,S,4,İŞLETME,Doç.Dr. Zerrin FIRAT,2026-04-13,15:00:00
IIS2308,DİGİTAL FİNANS,3,0,0,4,S,4,İŞLETME,Dr.Öğr. Üyesi Ebru AYDOĞAN,2026-04-14,11:00:00
IIZ2406,İSTATİSTİK II,3,0,0,5,Z,4,İŞLETME,Dr.Öğr. Üyesi Gülcan PETRİÇLİ,2026-04-14,14:00:00
IIZ2508,TİCARET HUKUKU,3,0,0,6,Z,4,İŞLETME,Öğr.Gör. Sevil KOYUNCU,2026-04-15,11:00:00
MAL2106,KAMU MALİYESİ,3,0,0,4,S,4,İŞLETME,Dr.Öğr.Üyesi Semih ŞEN,2026-04-16,15:00:00
IIZ2202,PAZARLAMA,3,0,0,6,Z,4,İŞLETME,Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,14:00:00
IIZ3112,STRATEJİK YÖNETİM,3,0,0,6,Z,6,İŞLETME,Doç.Dr. Zerrin FIRAT,2026-04-13,14:00:00
IIS3104,İŞ SAĞLIĞI VE GÜVENLİĞİ,3,0,0,4,S,6,İŞLETME,Doç.Dr. Zerrin FIRAT,2026-04-13,16:00:00
IIZ3302,MALİ TABLOLAR ANALİZİ,3,0,0,7,Z,6,İŞLETME,Dr.Öğr. Üyesi Ebru AYDOĞAN,2026-04-14,12:00:00
IIZ3318,FİNANSAL YÖNETİM II,3,0,0,5,Z,6,İŞLETME,Dr.Öğr. Üyesi Ebru AYDOĞAN,2026-04-14,15:00:00
IUS3210,ULAŞTIRMA EKONOMİSİ,3,0,0,4,S,6,İŞLETME,Doç.Dr. Yüksel OKŞAK,2026-04-15,16:00:00
IIS3206,TÜKETİCİ DAVRANIŞLARI,3,0,0,4,S,6,İŞLETME,Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,12:00:00
IIS3118,MESLEKİ YABANCI DİL II,3,0,0,4,S,6,İŞLETME,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,16:00:00
IIZ4306,MUHASEBE DENETİMİ,3,0,0,3,Z,8,İŞLETME,Dr.Öğr. Üyesi Şükrü DOKUR,2026-04-13,10:00:00
IUS4206,İHRACAT TEŞVİKLERİ,3,0,0,6,S,8,İŞLETME,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-14,10:00:00
IUS4208,SATIN ALMA ve ENVANTER YÖNETİMİ,3,0,0,6,S,8,İŞLETME,Doç.Dr. Yüksel OKŞAK,2026-04-15,10:00:00
IIS4114,İŞYERİ UYGULAMASI (BAHAR),0,18,0,18,S,8,İŞLETME,"Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE, Dr.Öğr.Üyesi Gülcan PETRİÇLİ",2026-04-15,17:00:00
IIS4106,KALİTE YÖNETİMİ,3,0,0,6,S,8,İŞLETME,Doç.Dr. Mehmet CIRANOĞLU,2026-04-16,11:00:00
IIZ4104,PROJE GELİŞTİRME II,3,0,0,6,Z,8,İŞLETME,Doç.Dr. Mehmet CIRANOĞLU,2026-04-16,14:00:00
IIS4118,İLERİ DÜZEYDE YABANCI DİL II,2,2,0,6,S,8,İŞLETME,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,11:00:00
IIZ4112,ULUSLARARASI İŞLETMECİLİK,3,0,0,3,Z,8,İŞLETME,Dr.öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,15:00:00
AIT102,ATATÜRK İLKELERİ ve İNKILAP TARİHİ II,2,0,0,2,Z,2,UTİ,ONLİNE,2026-04-08,18:00:00
TUD102,TÜRK DİLİ II,2,0,0,2,Z,2,UTİ,ONLİNE,2026-04-10,18:00:00
IIZ1302,MUHASEBE II,3,0,0,5,Z,2,UTİ,Dr.Öğr. Üyesi Şükrü DOKUR,2026-04-13,11:00:00
IIZ1502,HUKUKA GİRİŞ,3,0,0,4,Z,2,UTİ,Öğr.Gör. Sevil KOYUNCU,2026-04-13,17:00:00
MAT1502,MATEMATİK II,3,0,0,5,Z,2,UTİ,Dr.Öğr. Üyesi Gülcan PETRİÇLİ,2026-04-14,13:00:00
IIZ1102,İŞLETME II,3,0,0,5,Z,2,UTİ,Doç.Dr. Mehmet CIRANOĞLU,2026-04-16,12:00:00
IUZ1102,İKTİSAT II,3,0,0,5,Z,2,UTİ,Doç.Dr. Müslüm BASILGAN,2026-04-16,13:00:00
YAD102,İNGİLİZCE II,2,0,0,2,Z,2,UTİ,ONLİNE,2026-04-18,12:00:00
CAL2106,SOSYAL POLİTİKA,3,0,0,4,S,4,UTİ,Doç.Dr. Zerrin FIRAT,2026-04-13,15:00:00
IIZ2504,ULUSLARARASI TİCARET HUKUKU,3,0,0,5,Z,4,UTİ,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-14,11:00:00
IIZ2406,İSTATİSTİK II,3,0,0,5,Z,4,UTİ,Dr.Öğr. Üyesi Gülcan PETRİÇLİ,2026-04-14,14:00:00
IUS2106,DIŞ TİCARET FİNASMANI,3,0,0,4,S,4,UTİ,Dr.Öğr. Üyesi Esra GÜLER,2026-04-15,12:00:00
IUZ2102,İKTİSADİ ANALİZ II,3,0,0,6,Z,4,UTİ,Dr.Öğr. Üyesi Esra GÜLER,2026-04-15,14:00:00
MAL2106,KAMU MALİYESİ,3,0,0,4,S,4,UTİ,Dr.Öğr.Üyesi Semih ŞEN,2026-04-16,15:00:00
IIZ2202,PAZARLAMA,3,0,0,6,Z,4,UTİ,Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,14:00:00
IIS3104,İŞ SAĞLIĞI VE GÜVENLİĞİ,3,0,0,4,S,6,UTİ,Doç.Dr. Zerrin FIRAT,2026-04-13,16:00:00
IUZ3206,ULUSLARARASI İKTİSAT POLİTİKASI,3,0,0,9,Z,6,UTİ,Doç.Dr. Müslüm BASILGAN,2026-04-15,13:00:00
IUS3210,ULAŞTIRMA EKONOMİSİ,3,0,0,4,S,6,UTİ,Doç.Dr. Yüksel OKŞAK,2026-04-15,16:00:00
IIS3504,GÜMRÜK İŞLEMLERİ ve MEVZUATI,3,0,0,4,S,6,UTİ,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-16,10:00:00
IUZ3204,ULUSLARARASI TİCARET II,3,0,0,9,Z,6,UTİ,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-16,16:00:00
IIS3118,İLERİ DÜZEYDE YABANCI DİL II,3,0,0,4,S,6,UTİ,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,11:00:00
IIS3206,TÜKETİCİ DAVRANIŞLARI,3,0,0,4,S,6,UTİ,Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,12:00:00
IUS4206,İHRACAT TEŞVİKLERİ,3,0,0,6,S,8,UTİ,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-14,10:00:00
IIS4114,İŞYERİ UYGULAMASI (BAHAR),0,18,0,18,S,8,UTİ,Doç.Dr. Yüksel OKŞAK,2026-04-14,12:00:00
IUS4208,SATIN ALMA ve ENVANTER YÖNETİMİ,3,0,0,6,S,8,UTİ,Doç.Dr. Yüksel OKŞAK,2026-04-15,10:00:00
IUS4106,DÜNYA EKONOMİSİ,3,0,0,6,S,8,UTİ,Dr.Öğr. Üyesi Esra GÜLER,2026-04-15,15:00:00
IIS4106,KALİTE YÖNETİMİ,3,0,0,6,S,8,UTİ,Doç.Dr. Mehmet CIRANOĞLU,2026-04-16,11:00:00
IUZ4202,PROJE GELİŞTİRME II,3,0,0,6,Z,8,UTİ,"Doç.Dr. Müslüm BASILGAN, Dr.Öğr. Üyesi Esra GÜLER",2026-04-16,14:00:00
IIT4206,ULUSLARARASI PAZARLAMA,3,0,0,6,Z,8,UTİ,Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,15:00:00
IUS4204,MESLEKİ YABANCI DİL II,3,0,0,6,S,8,UTİ,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,16:00:00
AIT102,ATATÜRK İLKELERİ ve İNKILAP TARİHİ II,2,0,0,2,Z,2,YBS,ONLİNE,2026-04-08,18:00:00
TUD102,TÜRK DİLİ II,2,0,0,2,Z,2,YBS,ONLİNE,2026-04-10,18:00:00
IIZ1502,HUKUKA GİRİŞ,3,0,0,5,Z,2,YBS,Öğr.Gör. Sevil KOYUNCU,2026-04-13,17:00:00
IYZ1102,YÖNETİM BİLİMİ,3,0,0,5,Z,2,YBS,Doç.Dr. Fatih GÜRSES,2026-04-14,10:00:00
IYZ1202,ALGORİTMA VE PROGRAMLAMAYA GİRİŞ,2,2,0,5,Z,2,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-15,11:00:00
IUZ1102,İKTİSAT II,3,0,0,4,Z,2,YBS,Dr.Öğr. Üyesi Esra GÜLER,2026-04-15,14:00:00
IIZ1102,İŞLETME II,3,0,0,5,Z,2,YBS,Doç.Dr. Mehmet CIRANOĞLU,2026-04-16,12:00:00
YAD102,İNGİLİZCE II,2,0,0,2,Z,2,YBS,ONLİNE,2026-04-18,12:00:00
IYZ2214,OYUN PROGRAMLAMA,3,0,0,5,Z,4,YBS,Prof.Dr. Melih ENGİN,2026-04-13,13:00:00
CAL2106,SOSYAL POLİTİKA,3,0,0,4,S,4,YBS,Doç.Dr. Zerrin FIRAT,2026-04-13,15:00:00
EKO2210,İSTATİSTİK II,3,0,0,4,Z,4,YBS,Dr.Öğr. Üyesi Gülcan PETRİÇLİ,2026-04-14,14:00:00
EKO2302,YÖNEYLEM ARAŞTIRMASI,3,0,0,4,Z,4,YBS,Dr.Öğr. Üyesi Gülcan PETRİÇLİ,2026-04-14,15:00:00
IYS2210,AĞ TEMELLERİ,3,0,0,4,S,4,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-15,12:00:00
IYZ2206,VERİTABANI YÖNETİM SİSTEMLERİ,2,2,0,9,Z,4,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-15,13:00:00
IYS2112,GÖRSEL ALGI VE YARATICILIK,3,0,0,4,S,4,YBS,Öğr.Gör. Yeliz OKŞAK,2026-04-17,15:00:00
IYS3206,GRAFİK TASARIMI ve ANİMASYON,3,0,0,4,S,6,YBS,Öğr.Gör. Yeliz OKŞAK,2026-04-13,10:00:00
IYZ3106,BİLGİ TOPLUMU VE E-DEVLET,3,0,0,9,Z,6,YBS,Doç.Dr. Fatih GÜRSES,2026-04-14,11:00:00
IYS3210,BİLİŞİM SİSTEMLERİNİN ETİK ve İNSANİ YÖNÜ,3,0,0,4,S,6,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-14,16:00:00
IUS3104,DÜNYA EKONOMİSİ,3,0,0,4,S,6,YBS,Dr.Öğr. Üyesi Esra GÜLER,2026-04-15,15:00:00
IUS3210,ULAŞTIRMA EKONOMİSİ,3,0,0,4,S,6,YBS,Doç.Dr. Yüksel OKŞAK,2026-04-15,16:00:00
IIS3504,GÜMRÜK İŞLEMLERİ ve MEVZUATI,3,0,0,4,S,6,YBS,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-16,10:00:00
IYS3218,ELEKTRONİK HESAP TABLOLARI,2,2,0,4,S,6,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-16,16:00:00
IIZ3208,PAZARLAMA,3,0,0,9,Z,6,YBS,Dr.Öğr. Üyesi Filiz E.BÖLÜKTEPE,2026-04-17,14:00:00
IIS3118,MESLEKİ YABANCI DİL II,3,0,0,4,S,6,YBS,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,16:00:00
IYZ4218,PYTHON İLE VERİ BİLİMİ,3,0,0,3,Z,8,YBS,Prof.Dr. Melih ENGİN,2026-04-13,14:00:00
IYS4214,SİBER GÜVENLİK,3,0,0,6,S,8,YBS,Doç.Dr. Erdal ÖZDOĞAN,2026-04-13,16:00:00
IUS4206,İHRACAT TEŞVİKLERİ,3,0,0,6,S,8,YBS,Dr.Öğr. Üyesi O.Barbaros KEMER,2026-04-14,10:00:00
IYZ4110,SOSYAL MEDYA YÖNETİMİ,3,0,0,3,Z,8,YBS,Doç.Dr. Fatih GÜRSES,2026-04-14,12:00:00
IUS4208,SATIN ALMA ve ENVANTER YÖNETİMİ,3,0,0,6,S,8,YBS,Doç.Dr. Yüksel OKŞAK,2026-04-15,10:00:00
IIS4508,TİCARET HUKUKU,3,0,0,6,S,8,YBS,Öğr.Gör. Sevil KOYUNCU,2026-04-15,11:00:00
IYS4114,PORTFOLYO TASARIMIVE SUNUM TEKNİKLERİ,3,0,0,6,S,8,YBS,Öğr.Gör. Yeliz OKŞAK,2026-04-16,11:00:00
IYZ4202,PROJE GELİŞTİRME II,2,2,0,6,Z,8,YBS,"Doç.Dr. Fatih GÜRSES, Prof.Dr. Melih ENGİN, Doç.Dr. Erdal ÖZDOĞAN",2026-04-16,17:00:00
IIS4114,İŞYERİ UYGULAMASI (BAHAR),0,18,0,18,S,8,YBS,"Doç.Dr. Fatih GÜRSES, Doç.Dr. Erdal ÖZDOĞAN",2026-04-17,10:00:00
IIS4118,İLERİ DÜZEYDE YABANCI DİL II,2,2,0,6,S,8,YBS,Öğr.Gör. Recep HATİPOĞLU,2026-04-17,11:00:00
